"id","on_date","from_currency","to_currency","rate"
"null","2017-03-16","EUR","USD","1.072600"
"null","2017-03-16","EUR","IDR","14284.000000"
"null","2017-03-16","EUR","BGN","1.955800"
"null","2017-03-16","EUR","ILS","3.891800"
"null","2017-03-16","EUR","GBP","0.868100"
"null","2017-03-16","EUR","DKK","7.434300"
"null","2017-03-16","EUR","CAD","1.427700"
"null","2017-03-16","EUR","JPY","121.550000"
"null","2017-03-16","EUR","HUF","310.040000"
"null","2017-03-16","EUR","RON","4.550800"
"null","2017-03-16","EUR","MYR","4.761800"
"null","2017-03-16","EUR","SEK","9.483800"
"null","2017-03-16","EUR","SGD","1.503500"
"null","2017-03-16","EUR","HKD","8.327500"
"null","2017-03-16","EUR","AUD","1.394500"
"null","2017-03-16","EUR","CHF","1.069500"
"null","2017-03-16","EUR","KRW","1209.200000"
"null","2017-03-16","EUR","CNY","7.400400"
"null","2017-03-16","EUR","TRY","3.903000"
"null","2017-03-16","EUR","HRK","7.422000"
"null","2017-03-16","EUR","NZD","1.535100"
"null","2017-03-16","EUR","THB","37.536000"
"null","2017-03-16","EUR","NOK","9.158800"
"null","2017-03-16","EUR","RUB","62.180000"
"null","2017-03-16","EUR","INR","70.120000"
"null","2017-03-16","EUR","MXN","20.477000"
"null","2017-03-16","EUR","CZK","27.021000"
"null","2017-03-16","EUR","BRL","3.324400"
"null","2017-03-16","EUR","PLN","4.297400"
"null","2017-03-16","EUR","PHP","53.709000"
"null","2017-03-16","EUR","ZAR","13.627000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-17","EUR","USD","1.072600"
"null","2017-03-17","EUR","IDR","14284.000000"
"null","2017-03-17","EUR","BGN","1.955800"
"null","2017-03-17","EUR","ILS","3.891800"
"null","2017-03-17","EUR","GBP","0.868100"
"null","2017-03-17","EUR","DKK","7.434300"
"null","2017-03-17","EUR","CAD","1.427700"
"null","2017-03-17","EUR","JPY","121.550000"
"null","2017-03-17","EUR","HUF","310.040000"
"null","2017-03-17","EUR","RON","4.550800"
"null","2017-03-17","EUR","MYR","4.761800"
"null","2017-03-17","EUR","SEK","9.483800"
"null","2017-03-17","EUR","SGD","1.503500"
"null","2017-03-17","EUR","HKD","8.327500"
"null","2017-03-17","EUR","AUD","1.394500"
"null","2017-03-17","EUR","CHF","1.069500"
"null","2017-03-17","EUR","KRW","1209.200000"
"null","2017-03-17","EUR","CNY","7.400400"
"null","2017-03-17","EUR","TRY","3.903000"
"null","2017-03-17","EUR","HRK","7.422000"
"null","2017-03-17","EUR","NZD","1.535100"
"null","2017-03-17","EUR","THB","37.536000"
"null","2017-03-17","EUR","NOK","9.158800"
"null","2017-03-17","EUR","RUB","62.180000"
"null","2017-03-17","EUR","INR","70.120000"
"null","2017-03-17","EUR","MXN","20.477000"
"null","2017-03-17","EUR","CZK","27.021000"
"null","2017-03-17","EUR","BRL","3.324400"
"null","2017-03-17","EUR","PLN","4.297400"
"null","2017-03-17","EUR","PHP","53.709000"
"null","2017-03-17","EUR","ZAR","13.627000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-18","EUR","USD","1.073700"
"null","2017-03-18","EUR","IDR","14329.000000"
"null","2017-03-18","EUR","BGN","1.955800"
"null","2017-03-18","EUR","ILS","3.897900"
"null","2017-03-18","EUR","GBP","0.868680"
"null","2017-03-18","EUR","DKK","7.434300"
"null","2017-03-18","EUR","CAD","1.429600"
"null","2017-03-18","EUR","JPY","121.490000"
"null","2017-03-18","EUR","HUF","308.550000"
"null","2017-03-18","EUR","RON","4.563300"
"null","2017-03-18","EUR","MYR","4.762400"
"null","2017-03-18","EUR","SEK","9.461000"
"null","2017-03-18","EUR","SGD","1.505500"
"null","2017-03-18","EUR","HKD","8.335200"
"null","2017-03-18","EUR","AUD","1.394000"
"null","2017-03-18","EUR","CHF","1.069800"
"null","2017-03-18","EUR","KRW","1213.200000"
"null","2017-03-18","EUR","CNY","7.414100"
"null","2017-03-18","EUR","TRY","3.889600"
"null","2017-03-18","EUR","HRK","7.413300"
"null","2017-03-18","EUR","NZD","1.531800"
"null","2017-03-18","EUR","THB","37.418000"
"null","2017-03-18","EUR","NOK","9.102300"
"null","2017-03-18","EUR","RUB","61.952000"
"null","2017-03-18","EUR","INR","70.251000"
"null","2017-03-18","EUR","MXN","20.571000"
"null","2017-03-18","EUR","CZK","27.021000"
"null","2017-03-18","EUR","BRL","3.334200"
"null","2017-03-18","EUR","PLN","4.298200"
"null","2017-03-18","EUR","PHP","53.867000"
"null","2017-03-18","EUR","ZAR","13.700000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-19","EUR","USD","1.073700"
"null","2017-03-19","EUR","IDR","14329.000000"
"null","2017-03-19","EUR","BGN","1.955800"
"null","2017-03-19","EUR","ILS","3.897900"
"null","2017-03-19","EUR","GBP","0.868680"
"null","2017-03-19","EUR","DKK","7.434300"
"null","2017-03-19","EUR","CAD","1.429600"
"null","2017-03-19","EUR","JPY","121.490000"
"null","2017-03-19","EUR","HUF","308.550000"
"null","2017-03-19","EUR","RON","4.563300"
"null","2017-03-19","EUR","MYR","4.762400"
"null","2017-03-19","EUR","SEK","9.461000"
"null","2017-03-19","EUR","SGD","1.505500"
"null","2017-03-19","EUR","HKD","8.335200"
"null","2017-03-19","EUR","AUD","1.394000"
"null","2017-03-19","EUR","CHF","1.069800"
"null","2017-03-19","EUR","KRW","1213.200000"
"null","2017-03-19","EUR","CNY","7.414100"
"null","2017-03-19","EUR","TRY","3.889600"
"null","2017-03-19","EUR","HRK","7.413300"
"null","2017-03-19","EUR","NZD","1.531800"
"null","2017-03-19","EUR","THB","37.418000"
"null","2017-03-19","EUR","NOK","9.102300"
"null","2017-03-19","EUR","RUB","61.952000"
"null","2017-03-19","EUR","INR","70.251000"
"null","2017-03-19","EUR","MXN","20.571000"
"null","2017-03-19","EUR","CZK","27.021000"
"null","2017-03-19","EUR","BRL","3.334200"
"null","2017-03-19","EUR","PLN","4.298200"
"null","2017-03-19","EUR","PHP","53.867000"
"null","2017-03-19","EUR","ZAR","13.700000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-20","EUR","USD","1.073700"
"null","2017-03-20","EUR","IDR","14329.000000"
"null","2017-03-20","EUR","BGN","1.955800"
"null","2017-03-20","EUR","ILS","3.897900"
"null","2017-03-20","EUR","GBP","0.868680"
"null","2017-03-20","EUR","DKK","7.434300"
"null","2017-03-20","EUR","CAD","1.429600"
"null","2017-03-20","EUR","JPY","121.490000"
"null","2017-03-20","EUR","HUF","308.550000"
"null","2017-03-20","EUR","RON","4.563300"
"null","2017-03-20","EUR","MYR","4.762400"
"null","2017-03-20","EUR","SEK","9.461000"
"null","2017-03-20","EUR","SGD","1.505500"
"null","2017-03-20","EUR","HKD","8.335200"
"null","2017-03-20","EUR","AUD","1.394000"
"null","2017-03-20","EUR","CHF","1.069800"
"null","2017-03-20","EUR","KRW","1213.200000"
"null","2017-03-20","EUR","CNY","7.414100"
"null","2017-03-20","EUR","TRY","3.889600"
"null","2017-03-20","EUR","HRK","7.413300"
"null","2017-03-20","EUR","NZD","1.531800"
"null","2017-03-20","EUR","THB","37.418000"
"null","2017-03-20","EUR","NOK","9.102300"
"null","2017-03-20","EUR","RUB","61.952000"
"null","2017-03-20","EUR","INR","70.251000"
"null","2017-03-20","EUR","MXN","20.571000"
"null","2017-03-20","EUR","CZK","27.021000"
"null","2017-03-20","EUR","BRL","3.334200"
"null","2017-03-20","EUR","PLN","4.298200"
"null","2017-03-20","EUR","PHP","53.867000"
"null","2017-03-20","EUR","ZAR","13.700000"
"id","on_date","from_currency","to_currency","rate"
