"id","on_date","from_currency","to_currency","rate"
"null","2017-04-20","EUR","USD","1.072500"
"null","2017-04-20","EUR","IDR","14293.000000"
"null","2017-04-20","EUR","BGN","1.955800"
"null","2017-04-20","EUR","ILS","3.931300"
"null","2017-04-20","EUR","GBP","0.834300"
"null","2017-04-20","EUR","DKK","7.438700"
"null","2017-04-20","EUR","CAD","1.441500"
"null","2017-04-20","EUR","JPY","116.910000"
"null","2017-04-20","EUR","HUF","313.050000"
"null","2017-04-20","EUR","RON","4.534100"
"null","2017-04-20","EUR","MYR","4.719000"
"null","2017-04-20","EUR","SEK","9.619500"
"null","2017-04-20","EUR","SGD","1.498700"
"null","2017-04-20","EUR","HKD","8.339700"
"null","2017-04-20","EUR","AUD","1.425500"
"null","2017-04-20","EUR","CHF","1.069000"
"null","2017-04-20","EUR","KRW","1222.400000"
"null","2017-04-20","EUR","CNY","7.385200"
"null","2017-04-20","EUR","TRY","3.929200"
"null","2017-04-20","EUR","HRK","7.446800"
"null","2017-04-20","EUR","NZD","1.528300"
"null","2017-04-20","EUR","THB","36.883000"
"null","2017-04-20","EUR","NOK","9.152800"
"null","2017-04-20","EUR","RUB","60.266000"
"null","2017-04-20","EUR","INR","69.243000"
"null","2017-04-20","EUR","MXN","20.019000"
"null","2017-04-20","EUR","CZK","26.794000"
"null","2017-04-20","EUR","BRL","3.336800"
"null","2017-04-20","EUR","PLN","4.235800"
"null","2017-04-20","EUR","PHP","53.339000"
"null","2017-04-20","EUR","ZAR","14.261000"
